strat_phrase_root,strat_flag
Nenjiang,Formation
Chaves,Formation
Ngimbang,mention
Jeerinah,mention
Begrih,Formation
Ranken,mention
Cuddapah,mention
Thango,Formation
Sirban,Limestone
Subathu,Formation
Salt Range,Formation
Karsha,Formation
Beniah Lake,Formation
Manjeri,Formation
Córrego,Formation
Normanville,Group
Sellick Hill,Formation
Wirrapowie,Limestone
Mount Mantell,Member
Mernmerna,Formation
Midwerta,Shale
Shetianqiao,Formation
Mount McGrath,Formation
G-Resources,Group
Puesto Piris,Formation
Huashiguan,Formation
Alexandrinka,mention
Kuanyinchiao,Bed
Taungnyo,Group
Uluntui,Formation
Zhuya,Group
Chalcocite,Group
Innovation,Group
Boas River,Formation
Ziegelschiefer,Fm
Hetaoyuan,Formation
Quartz Plagioclase Calcite,Dolomite
Kozlu,mention
VRo,Shale
Dengying,mention
Sample I.D.,Formation
Mamfe,Formation
Luocheng,mention
Banks,Group
Marshybank,Formation
Zhiluo,mention
Grand Conglomérat,mention
Mwashya,Subgroup
Mineralization,Group
Baro,Member
Ouarzazate,Group
Antalo,Limestone
Gohatsion,Formation
Kansuki,Formation
Zebbag,Formation
Kometan,mention
Kometan,Formation
Arwa,Member
Aitamir,Formation
Abderaz,Formation
Lst,Limestone
Abiod,Formation
Quseir,Formation
Duwi,Formation
Dakhla,Formation
Esna,Formation
Afikpo,Sandstone
Mamu,Formation
Nkporo,Formation
Singhbhum,mention
Shanxi,Group
TCBSS,mention
Nyalau,Formation
Aktogai,mention
Manitu,Formation
Namphuc,Formation
Murree,Formation
Ashele,mention
Discovery,Formation
Nalou,mention
Roberts Mountains,Formation
Zhuanqiao,Formation
Silantek,Formation
Takena,Formation
Chatsworth,Formation
Katanga,Supergroup
Grezzoni,Fm
Price,Formation
Daliugou,Formation
Melbourne Isotope,Group
Nyama,Formation
Yangliugang,Formation
Karabakır,Formation
Boone,Formation
Changlin,Formation
Baikouquan,Formation
Huoqiu,mention
Prince Alfred,Formation
Leederville,Formation
Antrim,mention
Qiongzhusi,Formation
Taiyuan,mention
Shanxi-Taiyuan,Formation
Conclusions,Shale
Barakar,mention
Organic,mention
Quartz Pyrite Calcite,Dolomite
Toolebuc,Formation
Fe-Bearing,Dolomite
Aghar,mention
Sefidar,Dolomite
Apatite Chlorite,Dolomite
Burgan,Formation
Tagatiya Guazu,Formation
Camarinha,Formation
Sete Lagoas,Formation
Irati,mention
Bairrinho,Bed
Corumbataí,Formation
Mangrullo,Formation
Assistência,Member
Codó,Formation
Claras,Formation
Sul,Formation
Itararé,Group
La Veteada,Formation
Rio Bonito,Formation
Te Herenga,Formation
Northern Fortescue,Group
Fornovolasco Metarhyolite,Fm
San Luis,Formation
Glanville,Formation
Bashijiqike,Formation
Section Well,Member
Jianchaogou,Formation
Kunihar,Formation
Calcite Muscovite,Dolomite
Duvernay,mention
Grainstone,mention
Kunihar,mention
Kajrahat,Limestone
Xiaoheba,Formation
Schöneck,Formation
Kolje,Fm
Huagang,Formation
Fine-sandstone,Mudstone
Karacaören,Fm
OCS,Formation
Longwangmiao,Formation
Gufeng,Formation
Alam El Bueib,Formation
Alamein,Formation
Sample ID,Formation
Bahloul,Fm
Qiongzhusi,mention
Farewell,Formation
Arshan,mention
Ziliujing,Formation
Szeged,Dolomite
Afowo,Formation
Tettetgras,Formation
Blærerot,Formation
Fuglen,Formation
Slavgorod,Formation
Fengcheng,Formation
Måsnykan,Formation
Facies,mention
Lalun,Formation
Rudeis,Formation
Jinchuan,Group
Pyrite Quartz Chlorite,Dolomite
Conclusions,Formation
Wulongqing,Formation
Gaojiping,Formation
Baoligaomiao,Formation
Qigebrak,Formation
Shahabad,Limestone
La Chilca,Formation
LCH,mention
LCH,Formation
Magaliesberg,Formation
Mid‐Proterozoic Belt,Supergroup
Lancang,Group
Nanhuan Datangpo,Formation
Peñascal,Fm
Kepingtage,Formation
Xiala,Formation
Danzhou,Group
Sibao,Group
Wumishan,Formation
Keluke,Formation
Heyuanzhai,Formation
MiddleTriassic Leikoupo,Formation
Leikoupo,Formation
Bianmachong,Formation
Hazara,Formation
Gushan,Formation
Majiagou,Formation
Dongfengshan,mention
Dongfengshan,Group
Morita,Formation
Daguanshan,Formation
Clackmannan,Group
Dashizhai,Formation
Vic,mention
Setap,Shale
Calcite,Limestone
Tugutublak,Fm
Taihua,Group
Chañarcillo,Group
Abundancia,Formation
Pillara,mention
Jinyanshan,Formation
Traíras,Formation
Río Grande,Formation
Comus,Formation
Laobao,Formation
Red Zone,mention
Tugutublak,Formation
Calcário,Formation
Barren,Dolomite
Barren,mention
Natali,Formation
Propylitic-altered Qi’eshan,Group
Background,Dolomite
Jiujialu,Formation
Votuverava,Group
Post-Archean Australian,Shale
Bulunkuole,Group
Syenitic,Group
Mafic,Group
Shuikou,Group
Liuchapo,Formation
Timiskaming,mention
Tuodian,Formation
Beitashan,Formation
Qinxi,Formation
Douglas,mention
Zacatecas,Formation
Pontiac,mention
Piché,Group
Dananhu,Formation
Mia Le,Formation
Baogutu,mention
Qingshuijiang,Formation
Kuruer Dahalajunshan,Formation
Xiajiang,Group
Cadillac,Group
Matinenda,Formation
Magnolia,Formation
Deep Gulch,Conglomerate
Sumian,Group
Mississagi,mention
Jatulian,Group
Kaladawan,Formation
Shimanto,Supergroup
Siltstone,Limestone
Michigamme,Formation
Shemshak,Group
Tianger,mention
Hekou,Group
Kawabulake,Formation
Vipond,Formation
Shuangqiaoshan,Group
Allen Bay,Formation
Aston,Formation
Dongying,mention
Monterey,Fm
Jordan,Shale
Jordan,mention
Sakhra,Member
Taxihe,Formation
Taxihe,mention
Chilcatay,Formation
Khairkhan,Formation
Salaagol,Formation
Gungri,Formation
Mikin,mention
National Energy,Shale
Guanyinqiao,Formation
Linxiang,Fm
Guanyinqiao,mention
Patoka Marly,Mudstone
Oyambre,mention
Trewern Brook,Mudstone
Butterley,Mudstone
Trewern Brook,Formation
Majiaoling,Formation
Nagyvisnyó,Limestone
Although,Bed
Shuijngtuo,Formation
Dabis,Formation
Liuchapo,mention
Borgo Celano,Member
Hekkingen,Formation
Alge,Member
Graneros,mention
Fezouata,Shale
Argillaceous,mention
Dhibi,mention
Red River,Formation
Lom,Member
Anjihaihe,mention
Liujiagou,Formation
Janusfjellet,mention
Kallholn,mention
Feldspar Calcite,Dolomite
Zigazino-Komarovo,Formation
Riphean,mention
Luzhijiang,Formation
Luoxue,Formation
Luzhijiang,mention
Ilgarari,Formation
Wuqiangxi,Formation
Wuqiangxi,mention
Hüttenberg,Formation
Hüttenberg,mention
Port Askaig Tillite,Formation
Urikos,Member
Bambuí,Group
Sete Lagoas,mention
Hooggenoeg,Formation
Josefsdal,Chert
Arena,Fm
Agulugou,Formation
Union Island,Group
Langshan,mention
Derevnya,Formation
Liantuo,Fm
Xiushui,Fm
Noonday,Formation
Datangpo,mention
Rooinekke,mention
Lephala,Formation
Ulvesø,Formation
Andrée Land,Group
Balwan,mention
Shikaoda,Sandstone
Balwan,Limestone
Hekpoort,Formation
Tifnout,Member
Visingsö,Group
Ryssö,Formation
Callison Lake,Formation
Stirling Range,Formation
Loma Negra,Formation
Islay,mention
Bonahaven,Formation
Keills,Member
Lossit,mention
Russøya,Member
Macdonaldryggen,Member
Bråvika,mention
Backlundtoppen,Formation
Sleeper Camp,Formation
Shweminbon,Formation
Kalaw,mention
Pedawan,Formation
Pegu,Group
Hijo,mention
Maokou,mention
Youjiang,Formation
Paradox,mention
Taghdout,Group
Taghdout,mention
Mugagangri,Group
Devonion Wangchengpo,Formation
II,mention
Xikuangshan,Formation
Tiemiersu,Formation
Sanhedong,Fm
LKOC,Sandstone
Borsala,Formation
Ushmukan,Formation
Bilir,Formation
Zherba,Formation
Yanguda,Formation
Yingcheng,mention
Water,Formation
Boguty,Formation
Melnichnaya,Formation
Sukhoi Log,mention
Podrevnyukha,Formation
Maslyanka,Formation
Kryukovsky,Formation
Zavodskaya,Formation
Korda,Formation
Eldorado,mention
Keg River,Formation
Geirud,mention
Geirud,Formation
Paja,Formation
Tablazo,Formation
Freedom,Formation
Sherwood,Sandstone
Aravalli,Group
Shaliushui,Formation
Mt. Bardia,Fm
Połomia,Formation
Kota,Sandstone
Maleri,Formation
Devils River,mention
West Congolian,Group
Viséan East Kirkton,Limestone
Purbeck,Limestone
Cape,mention
Algoa,Group
Mud/mudstone,Shale
Liptinite,Group
Inertinite,Group
Clay/Claystone Mud/Mudstone,Shale
Clays Quartz Calcite,Dolomite
Volcanic,mention
Dark Laminated Calcareous,Mudstone
Laminated,mention
Gravel,Conglomerate
Laminated,Dolomite
CALCITE,Dolomite
Tr,Dolomite
Calpionellopsis,Limestone
CORED INTERVAL,mention
Acid Igneous,Dolomite
Woolshed,Formation
Marly,mention
Diagenetic Minerals,Dolomite
Dolomitic,Limestone
FRAMBOID FORMATION Inorganic,Formation
Indirect Biogenic,Formation
Sularp,mention
Calcareous,mention
Negaunee Iron,Formation
Special Rock Types,Conglomerate
Rhombs,mention
Detrital,mention
Clay Pyrite,Dolomite
Detrital Pyrite,Dolomite
Nannos,mention
Nannos,Dolomite
TR,mention
Basalt Pyrite,Dolomite
Keuper,Formation
Trace,Dolomite
Interbedded,mention
Interbedded,Dolomite
Kreyenhagen,Shale
Green,Shale
CC,Chert
CC,Sandstone
PYRITIC CLAY,Chert
HARD,Limestone
Pyrite Plagioclase Pyrite,Dolomite
Pyrite Plagioclase,Dolomite
Current-bedded,Limestone
CC,mention
SS,mention
DIAGNOSTIC FOSSILS,Limestone
White,Limestone
Component Stratigraphic Unit,Group
Lithostratigraphy,mention
San Bias Oceanic,Formation
Sample Sea,Bed
CJay/Claystone Mud/Mudstone,Shale
Remains Carbonate,Chert
Grains,mention
Mud/Mudstone,Shale
Rhombs Zeolites,Chert
Opaque,mention
COMPOSITION Clay,Dolomite
Nannofossils Tr,Dolomite
Dark,Mudstone
Globigerina,mention
Quartzose Micaceous,Shale
Vein,Formation
Vein,mention
Eider,Formation
Void,Conglomerate
Void Radiolarite Diatomite,Chert
Diatomite,Chert
Lithology,Chert
Kwaimbaita,Formation
Shark River,Formation
Lithology,Limestone
Organic,Shale
Amery,Group
Glauconite,Chert
Potomac,Formation
Englishtown,Formation
Woodbury,Formation
Bass River,Formation
Merchantville,Formation
Diameter Resistance Resistivity,Formation
Red,Chert
Gray,Chert
Gray,mention
Bituminous,Limestone
Amphibole Calcite,Dolomite
Pyrite,Chert
Diatoms,Dolomite
Quartz Clay,Dolomite
Clay,Dolomite
Carbonate,Mudstone
Qtz,mention
Silicified,mention
Radiolarite,Chert
Foram-Nanno Ooze Clay/Claystone,Shale
Barrow,Group
Muderong,Shale
Longjiang,mention
Tøyen,Shale
Tøyen,mention
Ipubi,Formation
Solnhofen,Formation
Mobarak,Formation
Deep Spring,Formation
Aouinet Ouenine,Formation
Zhesi,Formation
Fiord,mention
Fiord,Formation
Tuwaiq Mountain,Formation
Ust-Pinega,Formation
Trenton,Group
Tununk,Shale
Patsy Hill,Member
PermoTriassic Khuff,Formation
Brentwood,Limestone
Otter Park,mention
Evie,mention
Strahlen,Formation
Strehlen,Formation
Ferroan,mention
Common,Bed
Threadgill,Member
Clarksville,Member
Sea,mention
Nafun,mention
Huqf,mention
Seal Lake,Group
Keele,Formation
Keele,mention
Patrick Brook,mention
Patrick Brook,Formation
Nepisiguit Falls,Formation
Tetagouche,mention
Kokarkuyu,Formation
Algal,Chert
Chapel Island,Formation
Quaco Road,Member
Chapel Island,mention
Flat Landing Brook,Formation
Risky,Formation
Blueflower,Formation
Héva,Formation
Lowville,Formation
Mariam Bohkahko,Formation
Macasty,mention
Gull River,Formation
Bobcaygeon,Formation
Eramosa,Member
Victor Bay,mention
Victor Bay,Formation
Hunting,Formation
Fossil Hill,Formation
North Pechenga,mention
Goose Tickle,Group
Cunard,Formation
Watson Lake,Group
Harmon,mention
Beechy Lake,Group
Sharp,mention
Winterhouse,mention
Steel,Formation
Duo Lake,Formation
Exshaw,Formation
Hurwitz,Group
Nash,Formation
Watterson,Formation
Chaswood,Formation
Petit Jardin,Formation
Ira,Formation
Wagita,Formation
Winneshiek,Shale
Jhamarkotra,mention
Kinzigite,Formation
MgO,Group
Baishan,Formation
Nansatsu,Group
Kozakiyama,Formation
Pyrrhotite,Formation
Pyrrhotite,mention
Tharsis,mention
PQ,Group
Tharsis,Formation
Qingshan,Group
Dokhtar,Formation
Huangcaopo,Formation
Huangcaopo,Group
Zhuwo,Formation
Guojiagou,Formation
Goujiagou,Formation
Cuijiagou,Formation
Nanzhai,Formation
Seluohe,Group
Jingxing,Formation
Songre,Formation
Qinling,Group
Tufa Stromatolite,Formation
Jehol,mention
Jehol,Group
Detroit River,Group
Hennessey,Group
Tonoloway,Formation
Micrite,Shale
Siltstone,Conglomerate
Williamsville,Formation
Fiddlers Green,Formation
Bulawayo,Group
Crato,Formation
Taozichong,Formation
Taozichong,mention
Yixian,mention
Jinju,Formation
Conception,Group
Big Cove,Member
Parted,Limestone
Nova Olinda,mention
Fayetteville,Formation
Humptulips,Formation
Tully,mention
Dahongyu,mention
Ledyard,Shale
Weymouth,Member
Weymouth,mention
Ludlowville,Formation
Pyrite,Bed
Birdsong,Shale
Ross,Formation
West Centre Cove,Formation
Hunsriick,Shale
Wheeler,Shale
Yu'anshan,Member
Akademikerbreen,Group
Draken,mention
Svanbergfjellet,mention
Gasconade,Formation
Eminence,mention
Fermeuse,mention
Ore Hill,Member
Ingta,Formation
Genundewa,Limestone
Fillmore,Formation
Glen Dean,Formation
Pioche,Shale
Arkona,Shale
Arkona,mention
Hungry Hollow,Formation
Selkirk,Member
Sciota,Member
Rochdale,Formation
Ward,Member
Charnian,Supergroup
Society Cliffs,mention
Pyritic Sheale,Member
Romualdo,Member
Feldschuhhorn,mention
Valle,mention
Antiklinalbugt,Formation
Olentangy,mention
Heceta,Limestone
La Silla,Formation
Cuslett,Formation
Random,Formation
Collier,mention
Sinian Doushantuo,Formation
Burgsvik,Formation
Edgewood,Formation
Marjum,Formation
San Saba,Member
Wilberns,Formation
Morgan Creek,Limestone
Point Peak,Member
Clinetop,Bed
Salamanca,Formation
Lukow,Shale
Mifflin,Formation
Coral Ridge,mention
Corumbatai,Formation
Basal Silty,Member
Mistaya,Formation
Peak,mention
Owl,Conglomerate
Saharonim,Formation
Backlundtoppen,mention
Heceta,Formation
Shorikha,mention
Heceta,mention
Tully,Limestone
Cleveland Shale/Bedford,Shale
Delorme,Formation
Fengshan,Formation
Tillite,Group
Solnhofen,Limestone
New Providence,Shale
Great Valley,mention
Brereton,Limestone
Hannibal,Shale
Bangemall,Group
Garden City,Formation
Difunta,Group
Potrerillos,Formation
Hoyt,Limestone
Hartfell,Shale
Carbonate,Member
Rhynie,mention
Anse Maranda,Formation
Martiniere,Formation
Hatch Hill,Formation
Lebanon,Limestone
Chulaktau,mention
Nishnabotna,Member
Pitkin,Limestone
Browns Pond,Formation
Del Rio,mention
Arcente,Member
Fir Tree,Limestone
Middlesex,Shale
Gualcamayo,Formation
Fite,Formation
Tyner,mention
Napier,Formation
Pecatonica,Member
Wasatch,Formation
Tribes Hill,Formation
Fort Johnson,mention
Sprakers,Member
Wolf Hollow,Member
Chuar,mention
Chuar,Group
Van Buren,Formation
Van Buren,mention
Wah,Limestone
Hellnmaria,Member
Lava Dam,Member
Tribes Hill,mention
Cutting/Great Meadows,Formation
Fort Ann,Formation
Fort Edward,mention
Wolf Hollow,mention
Conception,mention
Moonkinu,Formation
Laborcita,Formation
Hilliste,Formation
Parras,Shale
Guilin,mention
Koobi Fora,Formation
KBS,Member
Feldkogel,Limestone
Martinsburg,mention
Knoppenbissen,Formation
Maquoketa,Formation
GA Mozaan,Group
Point Peak,Shale
Mt. McRae,Shale
Tal,mention
Discussion,Dolomite
Visby,Formation
Xiahihezi,Formation
Dengying,Fm
Fuling,Shale
Santa,Formation
Chimú,Formation
McNairy,Sandstone
Panoba,mention
Belqa,Group
Sahai,mention
Garau,mention
Lignite Sample Maceral,Group
Soma,mention
Yigilitepe,Formation
Goktepe,Formation
Penarth,Group
BGS,Bed
Wealden,Supergroup
Marston Ironstone,mention
Marston Ironstone,Bed
Cotham,mention
Hongqiyingzi,Group
Indian,mention
Gothic,Formation
Victoria Island,Formation
Kajarahat,mention
Lakheri,Limestone
Mineral Quartz Calcite,Dolomite
Smithsonite Calcite Quartz,Dolomite
Aditya Birla,Group
Gault Clay,Formation
London Clay,Formation
Average,Shale
Ballagan,Formation
Chadian Altagoan,Formation
Gwna,Group
Makgabeng,Formation
Depth,Formation
Wujiaping,mention
Wujiaping,Formation
Longtan/Wujiaping,Formation
Niutitang,Fm
LMX,Fm
Karamay,Formation
Elashan,Formation
Petroleum Gold Technology,Group
Vibrated Fluidized,Bed
Jizhong Energy,Group
Pyrite Kaolin Calcite,Dolomite
Xstrata,Group
Biohydrometallurgy,Group
Revett,Formation
Khari Nadi,Formation
Kongdian,Formation
Lista,Formation
Fusselman,Dolomite
Whitbian,Mudstone
Whitby,Mudstone
Mount Wawel,Formation
Skinners Run Pyrite,Bed
Greenhills,Group
San Manuel,mention
Cloudburst,Formation
Katakturuk,Dolomite
Gemuk,Group
Valdez,Group
Orca,Group
Nanook,Limestone
Fitchville,Formation
Matawan,Group
Siksikpuk,Formation
Hunt Fork,Shale
Alkali Feldspar,Group
Tunnels Mill,Member
Carlin,mention
Popovich,Formation
Nome,Group
Kuna,Formation
Fortress Mountain,Formation
Nanushuk,mention
Organic Sulfur,mention
Pyrite Framboid,Formation
Cauê Iron,Formation
Fågelsång Phosphorite,Bed
Morrison,mention
Kootenai,Formation
Fox Hills,Sandstone
Lance,Formation
Osaka,Group
Miyazaki,Group
Marine Benthic,Gp
De Geerdalen,Formation
Datianba,Formation
Srbsko,Formation
Huangqikou,Formation
Yunmengshan,Formation
Ca Fe,Group
Monteville,mention
Monteville,Formation
Monteville,Fm
Jeribe,Formation
Age,Formation
Marcasite,mention
Al-Hiswa,Sandstone
Qawasim,Formation
Sidi Salim,mention
Pilot Plant Trickle,Bed
Raritan,mention
Coal-laminae-bearing,Mudstone
Timeball Hill,Formation
Devon Island,Formation
Tofino,mention
Alamo Breccia,mention
Chumico,Member
Ravensthroat,mention
Athole Point,Formation
Elwin,mention
Vin,Formation
Durness,Group
Skull Creek,Shale
Smoky Hill,Member
Ellis Bay,Formation
Vaureal,Formation
Lion,mention
Qatar,mention
Geumcheon-Jangseong,Formation
Jampang,Formation
Ketza,Group
Point Peak,mention
San Saba,mention
Bioherm,Member
Kurgan,Formation
Chichkan,mention
Kisfennsík,Formation
Lousy Cove,Member
Sentinel Bluffs,Member
Buxin,Formation
Nankoweap,Formation
Carbon Canyon,Member
Karabaglyar,Formation
Liujia,Formation
Coconino,Sandstone
Hermit,Shale
Downdropped Surprise Canyon,Formation
Wuchiaping,Fm
NaPlagioclase Calcite,Dolomite
SUI,mention
Muddy Creek,Formation
II,Group
Yusmastakh,Formation
Gasconade,mention
Lodi,mention
Buckhorn,Member
Bellingham,mention
Boylston,mention
Wahmonie,Formation
Kamishak,Formation
Herendeen,Formation
Wm. Douglas,Group
Grassy Creek,Shale
Stark,Shale
Falling Run,Bed
Hasmark,Formation
Rainier Mesa,Member
Sultan,Formation
Kincaid,Formation
Escondido,Formation
Urico,mention
Roraima,Group
EXPLANATION,Mudstone
Santa Rosa,Sandstone
Rialto,mention
Burrego,Formation
MLCT,mention
Aroa,Formation
La Quinta,Formation
Andrew Lake,Formation
Quartzite-Garnet Range,Formation
Garnet Range,Formation
Kuskokwim,Group
Quarry Ledge,Member
Quarry Ledge,mention
Ojc Quarry Ledge,Member
Bathet Jmel,mention
Gadel,Group
Aïdiate,Formation
Bathet Jemel,Formation
Karheen,Formation
Sandstone-Hosted Deposits,Sandstone
Quartz-Pebble,Conglomerate
Azougui,Formation
Chegga,Formation
Ham,mention
Treïfiyat,Formation
Blekhzaymat,Group
Legleya,Group
Imourène,Group
Gàoua,Formation
Siebert,Formation
Hawar,Member
Esmeralda,Member
Greater Phyllopod,Bed
Crato,mention
Santana,mention
Great,Conglomerate
Ribota,Formation
Nsungwe,Formation
Base Derwenlas,Formation
Saratoga,mention
Labagang,Formation
Baltic,Shale
President Beaches,Formation
Purbeck,Group
Zongshan,Formation
Wölong,Formation
Wölong,mention
Clare,Shale
El Callao,Formation
Within Shavar,Fm
Shavar,Fm
Leicester Pyrite,mention
Whakamaru,Group
Saddle,Dolomite
Matanumadh,Formation
Matanumadh,mention
Moodies,mention
Nairne Pyrite,Formation
Meteorite Working,Group
Copper Harbor,Fm
Muzaﬀarabad,Formation
Wujiatai,Formation
Tongzi,Formation
Palaeoproterozoic Gulcheru,Formation
Haast Schist,Group
Hyde-Macraes Greenland,Group
Black Creek,Formation
Cribas,Formation
Maria Farinha,Formation
Aitutu,Formation
Peedee,mention
Pakhal,Group
Pandikunta,Formation
Mulug,mention
Kaladgi,mention
Mungaroa,Limestone
Porsanger,Dolomite
PorsangerDolomite,Formation
Skjaanes,Member
Gaaradak,Member
Svartkollen,Member
Home Farm,Member
Shaler,Group
Rae,Group
Edderfugledal,Member
Kubi Algi,Formation
Blanding,Formation
Morts,Formation
Cassian,Formation
Porters Creek,mention
Great Dirt,Bed
Borden,Formation
Springville,Shale
Burgersdorp,Formation
Fjerritslev,Formation
Wanakah,Shale
La Aguada,Member
Genesee,mention
Leicester Pyrite,Member
Lodi,Limestone
Leicester,mention
Windom,Member
Geneseo,Shale
Penn Dixie Pyrite,Bed
Windom,mention
Genesee,Formation
Dunkirk,Shale
Dunkirk,mention
Inkisi,Formation
Perthei,Group
RytterAker,Formation
Culpeper,mention
Daliyya,Formation
Bambui,Group
Mishash,Formation
Ghareb,Formation
Basal Shaly,Formation
Napipi,Formation
Munguido,Formation
Williamson,Shale
Williamson,mention
Williamson,Formation
Hartland,Shale
Toolebuc,mention
Oodnadatta,Formation
Marnes Bleues,mention
Dwyka,Formation
Bedford,mention
Mazzin,mention
Mfamosing,Limestone
Mfamosing,mention
Taqiya,Formation
Stackallan,Member
Cerithium,Limestone
Transition,Bed
Rambn,Formation
Tenjinmaru,mention
LITHOLOGY Coal,Mudstone
Wujiaping,Limestone
El Molino,Fm
Solimbes/Pebas,Formation
Conchodon,Formation
Carbonaceous,mention
Timna,Formation
Sasgon,Member
Shehoret,Formation
Timna,mention
Dunans,Shale
Oxford Clay,mention
Lamberti,Limestone
Calabozo,mention
Umm Er Radhuma,Formation
Folusz,mention
Whitehill,Formation
Lisimba,Member
Lilangu,Member
Mufara,Fm
Alcubierre,Formation
Werfen,Formation
Siusi,Member
Radiolarian,Sandstone
Bernet,Fm
Bison Creek,Formation
Ronde,Formation
Mazowsze,Formation
Lublin,Formation
Tal,Formation
Fort Union,mention
Schattwald,Shale
PM,mention
Red,Shale
Lexington,Limestone
Kalkrand,Formation
Fersiga,Group
Pendjari,Supergroup
Fersiga,mention
Changshun,Shale
Gessoso-solfifera,Formation
Hardap,Shale
Aren,Formation
Adoudou,Formation
Santa Barbara,Formation
Lastours,Fm
Plattenkalk,Group
Polosataya,Formation
Hanover,Shale
Prout,mention
Virgin Hill,Formation
Cairn,Formation
Sassenach,Formation
Botetourt,Formation
Yatavluk,Fm.
Wargal,Formation
Wellenkalk,Member
Arapien,Shale
Blind Fiord,Formation
Kieselkalk,Member
Lengqingre,Formation
Topmost Zewan,Formation
Khunamuh,Formation
Khunamuh,mention
Vegadeo,Formation
Ginger,Bed
Messel,Shale
London Clay,mention
Lunshan,Formation
Fenhsiang,Formation
Cuyo,Group
Platteville,Formation
Castlewood,mention
Soom,Shale
Moenkopi,Formation
Virgin,mention
Point Pleasant,Formation
Cornishville,Bed
Canajoharie,mention
Chikubetsu,Formation
Sunbury,Shale
Kliny,Limestone
Tripoli,Formation
Sharon Springs,Member
Sharon Springs,mention
Torrente CalaggioQ,Formation
Emigsville,Member
Sinsk,Formation
Konso,Formation
Kaili,Formation
Etchegoin,Formation
Maotianshan,mention
Poleta,Formation
Windermere,Supergroup
Erga,Formation
Mezen,Formation
Trooper Creek,Fm
Keasey,Formation
Ames,Member
Wanapi,Dolomite
Uematsu,Formation
Pyrite-free Paratirolites,Limestone
Guachos,Formation
McManus,Formation
Foreknobs,Formation
Deoban,Limestone
Deoban,mention
Fairport Sh,Mbr
Stockum,Limestone
Stockum,mention
Ecca/Beauford,Group
Tlapana,Formation
Tlhabala,Formation
Dwyka,mention
Springdale,Sandstone
Kirusillas,Shale
Blue Lias,Formation
Abacaxis,Member
Computational GeoEcology,Group
Eagle Ford,mention
Kanguk,Formation
Basinal Tapley Hill,Formation
Little Dal,mention
Balcanoona,mention
Antrim,Fm
Norwood,Member
Antrim,Formation
Norwood,mention
Osawa,Formation
Kockatea,Shale
Middle Bakken,Member
Amgan Qingxudong,Formation
Shilongdong,Formation
Láncara,Formation
Pedra Lisa,Member
Polvoeira,mention
Rife,Bed
Hongguleleng,Formation
Zhushadong,mention
Tschermakfjellet,Formation
Tschermakfjellet,mention
Botneheia,Fm
Botneheia,mention
Lehman,Formation
Chlorite Kaolinite Goethite,Dolomite
Alum,mention
UW,mention
Yuanshan,Formation
Yuanshan,Fm
Quilon,Limestone
Monte Morello,Formation
Shibantan,mention
Baykit,Sandstone
Mbuji-Mayi,Supergroup
Hradiště,Formation
Whangai,Formation
Ushbas,Member
Karatau,Member
Pysht/Sooke,Formation
Moway,Shale
Kapp Starostin,Formation
Tufa,mention
Vikinghøgda,Formation
Kanosh,Formation
Legend,Sandstone
Chuos,Formation
Umm Ishrin,Formation
PETM,mention
Intermediate,Sandstone
Cerro Puntudo,Formation
Rusty,Conglomerate
Cardiola,Formation
Wolayer,Limestone
Smyrna,Bed
Carpenter Falls,Bed
New Lisbon,Member
Usseln,Limestone
Amogjar,Formation
Nouatil,Group
Nouatil,mention
Mojerokan,Fm
Fayetteville,Shale
Horns Udde,Formation
Folkeslunda,Limestone
Dawan,Formation
Budaörs,Dolomite
Hauptdolomit,mention
Cuslett,mention
Woclumeria,Limestone
Bonteigen,Member
Rio Negro,Formation
Tereñes,Formation
Olorgesailie,mention
Gaojiashan,mention
Graneros,Formation
Bird Spring,mention
Menilite,Formation
Laobao,mention
Sulphur Mountain,Formation
Ranger Canyon,Formation
Monte Vallassa,Formation
Bungunnia,Limestone
Sanetsch,Fm
Gessoso Solfifera,Formation
Argille Azzurre,Fm
Charmouth,Mudstone
El Hanadi,Member
Taishaku,Limestone
Ibaouane,Formation
Oued Znaigoi,Formation
Dargaz,Formation
Newark,Supergroup
Sarchahan,mention
Sarchahan,Formation
Barut,Formation
Saguión,mention
Saguión,Formation
Pinyon Peak,Limestone
Pinyon Peak,mention
Parting,mention
Annulata Black,Shale
Bih,Formation
Třebotov,Limestone
Suchomasty,Limestone
Acanthopyge,Limestone
Williamsburg,Bed
Sherburne,Member
Penn Yan,Shale
Frysjaodden,Formation
Helongshan,Formation
Patrocinio,Formation
Slater River,Formation
Qtz,Chert
Caerfai,Group
Woody Island,mention
Laframboise,Member
Laframboise,mention
Izarra,Formation
Izarra,mention
Hoyt,Member
Rochdale,mention
Fort Cassin,Formation
Beekmantown,mention
Igoudine,Formation
Lincoln Creek,Formation
Fjäcka,Shale
Slandrom,Limestone
Kaili,mention
Wessex,Formation
Bloomsburg,Formation
Moratillas,Formation
Catskill Hampshire,Formation
Catskill,Formation
Catskill,mention
Kuanchuanpu,Formation
Chiquero,Formation
Hředle,Member
Mšec,Member
Plöcken,mention
Nölbling,Formation
Xiannudong,Formation
Fucheng,Formation
Fucheng,mention
Tesero,Member
Tesero,mention
Bellerophon,mention
Melissochori,Formation
Examili,Formation
Emigsville,Mbr
Greenmount,Mbr
Pioche,mention
Pierson Cove,Limestone
Sorbas,Member
Platy,Dolomite
