strat_phrase_root,strat_flag
Kangbutiebao,Formation
DHLJS,Formation
Palaeozoic DHLJS,Formation
Aqialehe,Formation
Barluk,Formation
Heishantou,Formation
Nuoerte,Formation
TvDe Roof,Shale
Sanguinède,mention
Discussion,Formation
Mount McRae,Shale
Wittenoom,Formation
Skarn,mention
Matchless,Member
Quelén,Member
Quebrada Marquesa,Formation
Farellones,Formation
Platinum,Group
Campo Pisano,mention
Desierto,Formation
Hamersley,Group
Shales,Formation
Basal,Group
Malmani,Subgroup
Transvaal,Supergroup
Male,Formation
Magyigon,Formation
Clogau,Formation
Clogau,mention
Dales Gorge,Member
Tartoq,Group
Battle Spring,Formation
Paulson,Sandstone
Perapedhi,Formation
Boulder,Conglomerate
Earn,Group
Mineral Deposits Studies,Group
Pt,mention
Wutong,Sandstone
Foldvik Creek,Group
Ravnefjeld,Formation
Newman,Member
Glengawna,Formation
Los Ranchos,mention
Tireo,mention
Eleonore Bay,Supergroup
Shavi,Member
Culm,mention
Black Reef,Formation
Duitschland,Formation
Duitschland,mention
Magaliesberg Quartzite,Formation
Mary Kathleen,Group
Olney,Formation
Yellowjacket,Formation
Kisii,Shale
Moffat,Shale
Skiddaw,Group
West Rand,mention
Dominion,Group
Witwatersrand,Supergroup
Sakoli,Group
Kløftelv,Formation
Adze,Formation
Boda,Limestone
Bardo,Formation
Osgood,Shale
Magothy,Formation
Magothy,mention
Kimmeridge Clay,mention
Kap Weber,Formation
Doushantuo,Formation
Aralka,Formation
Previous Aralka,Formation
Pertatataka,Formation
Pioneer,Sandstone
Sidingshan,mention
Balang,Formation
Pidinga,Formation
Shawangunk,Formation
Palaeoproterozoic Franceville,Formation
Sête Lagoas,Formation
Drook,Formation
Fermeuse,Formation
Dengying,Formation
Gog,Group
Patuxent,mention
Qinglong,Formation
Element/Tailings Quartz,Dolomite
Mount Isa,mention
Urquhart,Shale
Zongpu,mention
Zongpu,Formation
Wmca,Gp
Puncoviscana,Formation
Bazhenov,Shale
Boda Albitic Claystone,mention
Boda Siltstone,Formation
Bakken,mention
Pyrite Quartz Calcite,Dolomite
Hutton,Sandstone
Cardium,Sandstone
Utica,mention
Marcellus,Shale
Marizal,Formation
Sousa,Formation
Antenor Navarro,Formation
Bababudan,Group
Niobrara,Formation
Mendola,Formation
Inca,Formation
Buck Reef,Chert
Carawine,Dolomite
Jeerinah,Formation
Utica,Shale
Koegas,Subgroup
Koegas,Formation
Fig Tree,Group
Klein Nature,Formation
Hamersley,mention
Talbragar Fish,Bed
Clay Minerals,Dolomite
Ouarzazate,Supergroup
Zaonega,Formation
Moodies,Group
Boolgeeda Iron,Formation
Longmyndian,Supergroup
Joggins,Formation
Sedimentary,Formation
Dresser,Formation
Oatka Creek,mention
Union Springs,mention
Irregully,Formation
Bangemall,mention
Bonneterre,Formation
Ironton-Galesville,Sandstone
North American,Shale
Dol,mention
Platinum,mention
Calcite Celestite,Dolomite
IUSS Working,Group
Wólka,Formation
Sumra,Member
Pilbara,mention
Society Cliffs,Formation
Sulky,Formation
Jequitaí,Fm
Heshan,Fm.
Heshan,Fm
Brak,Formation
Maharshim,Mbr
Stromatolite,Member
Stromatolite,Mbr
Tmassah,mention
Shabirinah,Formation
Shabirinah,mention
Louziba,Group
Jinji,Group
Lianhuashan,Formation
Beiya,mention
Mineral,mention
Mineral,Shale
Coal Geology,mention
Lab Errors,Dolomite
Chia Gara,Formation
Taiyuan,Formation
Muling,Formation
Seyitömer,mention
Coal Measures,Supergroup
Coal Measures,mention
Marcellus,mention
Posidonia,mention
Pyrite,Shale
Lithology Jijuntun,Formation
Mineral Quartz,Dolomite
Batu Gajah,Formation
Breathitt,Formation
Malinstindur,Formation
Coal,mention
Geochemistry Longtan,Formation
Arbuckle,Group
Quartz K-Feldspar,Dolomite
Na Cl Celestine,Dolomite
Mining,Group
Quartz Feldspar Calcite,Dolomite
Surmeh,Formation
Reineche,Member
Nyong,mention
Recurrent,mention
Bireno,mention
Nubian,Sandstone
Bloupoort,Formation
Platinoid,Group
Amran,mention
Kirchaou,Formation
Bagalkot,Group
Pinheiro,mention
Muscovite,Sandstone
Jingtieshan,Group
Shueib,Formation
Tuolie,Formation
Chihsia,Formation
Jinshuikou,Group
Jiapigou,Group
Maokou,Formation
Tieshanmiao,Formation
Cleveland Ironstone,Formation
Upstream,Group
Upstream,mention
Martinsburg,Formation
Bikou,Group
Nairne Pyrite,Member
Osaka,mention
Lujiaping,Formation
Quartz Pyrite Kaolinite,Dolomite
Shanxi,mention
Yanchang,Formation
Qiongzhusi,Fm
Qiongzhusi,Fm.
Murteree,Shale
Roseneath,Shale
Barnett,Shale
Khartam,mention
Enhancing,Shale
Lucaogou,Formation
Asmari,Formation
Lijiayan,Formation
Three Forks,Mudstone
Bentheimer,mention
Plagioclase Calcite,Dolomite
Qusaiba,Shale
Conclusions Qusaiba,Shale
Xiagou,Formation
Tamaulipas,Formation
Jejenes,Formation
Yacoraite,Formation
Baiyinbaolage,Group
Vempalle,Formation
Vempalle,mention
Heshan,Formation
Magnetite Strontianite Calcite,Dolomite
Madison,Group
Xuanwei,Formation
Maimón,Fm
Arab,Formation
Qingshankou,Formation
Hetang,Formation
Skagerrak,Formation
Bentiu,Formation
Esino,Limestone
Qalibah,Formation
Hançili,Formation
Yingshan,Formation
Meillon,Dolomite
Otter Park,Member
Horn River,Group
Evie,Member
Abu Gabra,mention
Barsarin,Fm
Monte Zugna,Formation
Nicola,Group
Sweetwaters Well,Member
Yelma,Formation
Maraloou,Formation
Maraloou,mention
Sweetwaters Well,mention
Wallaby,mention
Yankuang,Group
Laberge,Group
Frio,Formation
Taiyangding,Formation
Tuwu,mention
Tanjianshan,Group
Wolverine Lake,mention
Shanxiuling,Group
Zhangjiazhuang,Formation
Linzizong,Group
Baishahe,Formation
Oxide,mention
Oxide,Sandstone
Magu,Formation
Red,mention
Garedu,Formation
Nakhlak,mention
Ankerite,Dolomite
Gaolishan,Formation
Qixia,Formation
Longtan,Formation
Tarahumara,Formation
Qiziqiao,Formation
Ruteh,Formation
Jiangouhe,Formation
Gandun,Formation
Qi’eshan,Group
Laguigangri,Group
Yaojia,Formation
Adediya,mention
Ridang,Formation
Barney Creek,Formation
HYC Pyritic,Shale
McArthur,Group
McArthur,mention
Duobaoshan,Formation
Duobaoshan,mention
Tashibulake,Formation
Kaladawan,mention
Beiya,Formation
Huangmaqing,Formation
Duantouya,Formation
Huincul,Formation
Vaca Muerta,Formation
Neuquén,Group
Jinji,Formation
Sapo,Fm
Querecual,Formation
Naricual,Formation
La Luna,Formation
Nadaleen,mention
Blue Spur,Conglomerate
Taratu,Formation
Jiangxi Copper,Group
Blake River,Group
Jindong,Formation
Carbonates Oxides Calcite,Dolomite
Jet Rock,Formation
Schuchert Dal,mention
Conasauga,Group
Basilika,Formation
Fezouata,mention
Khatyspyt,Formation
Nafun,Group
Gaojiashan,Member
Khatyspyt,mention
Khatyspyt,Fm
Lungmachi,Formation
Salt,Fm
Rhinestreet,Shale
Dam,Formation
Doushantuo,mention
Lantian,Formation
Aravalli,Supergroup
Yinkeng,Fm
New Market,Formation
Table Head,Group
Bromide,Formation
Parkin,Formation
Debengda,Formation
Monastery Creek Phosphorite,Member
Mozaan,Group
Latrobe Valley,mention
Gogolin,mention
Mid-Proterozoic Belt,Supergroup
HF Wufeng,Formation
Wood-Log,Bed
Irati,Formation
Datangpo,Formation
Datangpo,Fm
Shipai,Formation
Wufeng,Formation
Shipai,Fm
Mingxinsi,Fm
Shahezi,Fm
Pingliang,Formation
Wufeng Formation-Longmaxi,Formation
Wufeng-Longmaxi,Formation
Wufeng-Lungmachi,Formation
Xiaoerbulake,Formation
Zalgatui,Formation
Madison,Formation
Palaeoroterozoic Magaliesberg,Formation
Sonia,Sandstone
Unzha,Formation
Ermolino,Formation
Bazhenov,Formation
Bazhenov,mention
Salitre,Formation
Bebedoura,Fm
Mangabeira,Formation
Pyrite,Member
Saiq,Formation
West,Shale
Duvernay,Formation
East,Shale
Bakken,Shale
Mendon,mention
Mapepe,Formation
Series Depth,Formation
Yeneena,Supergroup
Entrada,Sandstone
Paradox,Formation
Carmel,Formation
Gaoyuzhuang,Formation
Bakken,Formation
Middle,Member
Otavi,Group
Shannon,Formation
Jay Creek,Limestone
Petermann,Sandstone
Goyder,Formation
Todd River,Dolostone
Tempe,Formation
Giles Creek,Dolostone
Aravalli,mention
Chokier,Formation
Chokier,mention
Dharwar,Supergroup
Vanivilas,Formation
Hiriyur,Formation
Babatal,Formation
Klein Naute,Formation
St. Paul,Group
Hetang,Fm
Wenlockian Denbigh Grit,Group
Khorat,Group
Mwale,Formation
Sichuan Longmaxi,Formation
Shahezi,Formation
Chattanooga,mention
Dalong,mention
Lianglitage,Formation
Barnett,mention
Quartz Clay Calcite,Dolomite
Rudist,Limestone
Quartzite,Formation
Mértola,mention
Meguma,mention
USA New Albany,Shale
Usili,Formation
Red,Formation
Red,Bed
Boyer Ranch,Fm
Wutong,Formation
Huanglong,Formation
Zijin Mining,Group
Pipe Creek,Formation
Jiuziyan,Fm
New Albany,Shale
Briscal,Formation
Yamansu,mention
Xiaorequanzi,mention
Slangen,Member
Lorraine,Group
Omkyk,Member
Spitzkop,Member
Fika,mention
Bovegno,Fm.
Stuart Range,Formation
Monterey,mention
Tyhee Development,Group
Christopher,Formation
Reefton,Group
Tokakoriri,Formation
Abbey,Limestone
Te Kuiti,Subgroup
Massive Muddy,Sandstone
Ampthill Clay,Formation
Huriwai,Group
Mahurangi,Limestone
Divide,Formation
Beacon,Group
Midway,Group
Fowler,Formation
CJ Greenland,Group
Whangai,mention
Weber,Formation
Beacon,mention
Selborne,Group
Beacon,Sandstone
Fall,Conglomerate
Orahiri,Limestone
Te Kuiti,Group
Kurinui,Formation
Greenland,Group
Taniwha,Formation
Matakaoa Volcanic,Group
Whakai,Formation
Moki,Formation
Pegasus,Group
McKee,Formation
Several McKee,Formation
Mangahewa,Formation
Huka,Group
Broken River,Formation
Lockatong,mention
Dunstan,Formation
Haupiri,Group
Summit,Limestone
Amuri,Limestone
Unlike Waima,Formation
Whitiaoga,Group
Herring,Formation
Scorpion Creek,Sandstone
Blue Bottom,Group
Creek,mention
Loch Burn,Formation
Sledgers,Formation
FIBROUS ZEOLITES,Mudstone
Waipapa,Group
Waipapa,mention
Pakaurangi,Member
Hollands,Member
Timber Bay,Formation
Funnel,Member
Ftmnel,Member
Manuherikia,mention
Manuherikia,Group
Tramway,Formation
Moehau,Formation
Mount Arthur,Group
Lockatong,Formation
New Brighton,Conglomerate
Tikorangi,Formation
Ohai,mention
Mokoiwi,Formation
Taitai,mention
Bluff,Bed
Manaia Hill,Group
Island,Sandstone
Wet Jacket,Formation
Kapuni,Formation
Kapuni,mention
Kaiata,Mudstone
Tourmaline,mention
Interpretation Quartz Wash,Member
Washbourn Limonite,Member
Iwitahi,Group
Eight Mile,Formation
Maungataniwha,Sandstone
Urewera,Group
Waipupu,Formation
Waicoe,Formation
Maitai,Group
Aorere,Formation
Greywacke,mention
Horse Range,Formation
Maori Bottom,Formation
Wanstead,Formation
Malau,Formation
Nasavu,Formation
Tasman,Group
Tirua,Formation
Swale,Formation
Bluff,Sandstone
Toki Lignite-Bearing,Formation
Bituminous Marl,Formation
Kembelangan,Group
Changcheng,Group
Qiongzhushi,mention
Pyrite Jiaodong,Group
Bayan Har,Group
ALS Laboratory,Group
Porphyry Dioriteporphyrite Metagenesis,Dolomite
Salgueiro,Group
Jhamarkotra,Formation
Jatulian,mention
Cosoltepec,Formation
Dharwar,mention
Luobusa,mention
Tashk,Formation
Cerros Victoria,Formation
Minas,Formation
Mosteiros,mention
Boquira,Formation
Cu,mention
Pozos,mention
Shadli Volcanic,Group
Yemahe,Fm
Shennongjia,Group
Dawokeng,Fm
Kuangshishan,Fm
Wenshuihe,Fm
Qianxi,Group
Liaohe,Group
Hulan,Group
Qinling,mention
Bijawar,Group
Chattisgarh,Group
Vidrio,Formation
Tilito,Formation
Dalong,Formation
Delhi,Supergroup
Mo,mention
Gaoshanhe,Formation
Yamansu,Formation
Union Wash,Formation
Jacareacanga,Group
Cpy,mention
Mine Drainage Interest,Group
Luojiaping,Formation
Liziyuan,mention
Kaiata,Formation
Cacaguapa,Group
Kinsey Canyon,Formation
Chencai,mention
Cuiabá,Group
Wulashan,mention
Mariposa,Formation
Rhéouis,Formation
Black,Limestone
Bechateur,Formation
Bechateur,mention
MVT,mention
Waitoushan,Formation
Waitoushan,Group
Longtan,Fm
Changxing,Fm
Una,Group
Gaoyuzhuang,Group
Negra,Formation
Veta Negra,Formation
Lo Prado,Formation
Shuijingtuo,Formation
Esperanza,Formation
Vectis,Formation
Hard Platy,Shale
Exsulans,Limestone
Road River,Formation
Douglas,Group
Talung,Formation
Allegheny,Group
Na Duong,mention
Cao Bang,mention
Cleveland,Shale
Barstow,Formation
Selmier,Formation
Bellerophon,Formation
Anakeesta,mention
Wingate,Sandstone
Twannbach,Formation
Risley,Formation
Blufftown,Formation
Juniata,Formation
Warrawoona,Group
Ga-old Onverwacht,Group
Huronian,Supergroup
Huronian,mention
Hulo,Shale
Hulo,Formation
NORMAN Gencor,Group
Experimental Pyrite,Formation
EDX Pyrite,Formation
Hunghuayuan,Formation
Pahrump,Group
Baraga,Group
Tyler,mention
Baraga,mention
Mossen,Fm
Currant Bush,Limestone
Golomyannaya,Formation
Sorthehat,Formation
Waco,Member
Waco,Limestone
Kallholn,Formation
Skellefte,Group
Skellefte,mention
Broceni,Member
Furudal,Limestone
Vaginatum,Limestone
Skärlöv,Limestone
Kullstaberg,mention
Botvide,Member
Botvide,mention
Varangu,Formation
Leetse,Formation
Valdemiedes,mention
Killeröd,Fm
Torneträsk,mention
Kullsberg,Limestone
Grammajukku,Formation
Crèche,Formation
Tyrrellfjellet,Member
Cow Head,Group
Kopingsklint,Formation
Sularp,Shale
Slite,Group
Lingulid,Sandstone
Gdov,Fm
Fyansford,Formation
Cymbric Vale,Formation
H.Y.C. Pyritic,Shale
Creek,Formation
Balbirini,Dolomite
H.Y.C. Pyrite,Shale
Mt Doreen,Formation
Julie,Formation
Cliefden Caves,Limestone
Beck Spring,Dolomite
Belcher,Supergroup
Amelia,Dolomite
Balbirini,mention
Y.C. Pyritic,Shale
Amelia,mention
Gunflint Iron,Formation
Clay Mesa,Shale
Black,Shale
Tuscaloosa,Fm
Strelley Pool,Chert
Madison,mention
Helvetiafiellet,Fm
LEGEND Sittstone,Sandstone
Monterey,Formation
Jenolan Caves,mention
Hypersaline,mention
Hypersaline,Group
Virgin,Limestone
Jenolan Caves,Limestone
Muscovite,Dolomite
South Elwood Monterey,Formation
Madison,Limestone
Gaoyuzhuang,mention
Falling Creek,Member
Gunflint,Formation
Opalinus Clay,mention
GenBank,Group
Gunner,mention
Töyen,Shale
Madison,Dolostone
Lake Vermilion,mention
Francis,Formation
Modern,Dolomite
Eilean Dubh,Formation
Methane-Seep,Limestone
Duntulm,Formation
Vargas Pefia,Shale
Cow Branch,Fm
Wilcox,Group
Shu'aiba,Formation
Baga,Formation
Hasle,Formation
Castellanos,Formation
Kidod,Formation
Pitinga,Formation
Barreirinha,Formation
Longa,Formation
Clay,Chert
Sedimentology,Group
Sukhaya Tunguska,Formation
Karatau,Group
Dalichai,Formation
Hiram Brook,Member
Albert,Formation
Byers,Group
Pebble,Shale
Bara,Formation
Tupuangi,Formation
Arisaig,Group
Chopawamsic,Formation
Anthill Black,Shale
Wangapeka,Formation
Blue-Bottom,mention
Blue-Bottom,Group
Tunnel Burn,mention
WhitecliffsInangahua,Formation
Howden,Limestone
Winton,Formation
Port Elizabeth,Formation
Matiri,Member
Matiri,mention
Matiri,Formation
Torlesse,mention
Pakaurangi,mention
Pakaurangi,Formation
Puketi,Formation
Colville,Formation
Garden Cove,Formation
Woodbine,Formation
Siwalik,mention
Pyrite-Rich Black,Shale
Marshall,Sandstone
Fickling,Group
Rose Valley,Member
Johnson Cairn,Shale
Rosebrook,Member
Bunyan,Formation
Virgin Hills,Fm
Turee Creek,mention
Ashburton,Formation
Finlayson,Sandstone
Killara,Formation
Martin,mention
Rolling Downs,Group
Cahill,Formation
Thackaringa,mention
Stony Head,Sandstone
Hot Spring,Member
Bukalara,Sandstone
Amos,Formation
